date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:40	164/164	U-----	200	untouched ('OK')	text/plain	etag:%221f610de-a4-5355148161ceb%22	http://gerenciales.com/robots.txt		(from )
22:54:41	55181/55181	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2028%20Aug%202016%2002:54:29%20GMT	http://gerenciales.com/	C:/xampp/htdocs/plantillas/second/gerenciales.com/index.html	(from )
22:54:42	732/732	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:30%20GMT	http://gerenciales.com/js/noty/layouts/bottomCenter.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/bottomCenter.js	(from http://gerenciales.com/)
22:54:42	28759/28759	U-----	200	untouched ('OK')	text/css	date:Fri,%2022%20Apr%202016%2016:51:58%20GMT	http://gerenciales.com/css/font-awesome-4.6.1/css/font-awesome.min.css	C:/xampp/htdocs/plantillas/second/gerenciales.com/css/font-awesome-4.6.1/css/font-awesome.min.css	(from http://gerenciales.com/)
22:54:42	509/509	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:32%20GMT	http://gerenciales.com/js/noty/layouts/inline.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/inline.js	(from http://gerenciales.com/)
22:54:43	166/166	U-----	200	untouched ('OK')	text/css	date:Fri,%2031%20Oct%202014%2016:10:30%20GMT	http://gerenciales.com/css/validator/validator.css?v=2016	C:/xampp/htdocs/plantillas/second/gerenciales.com/css/validator/validator67ed.css	(from http://gerenciales.com/)
22:54:43	95794/95794	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202016%2002:54:32%20GMT	http://gerenciales.com/eventos/ver/3386/gestion-estrategica-balanced-scorecard-venezuela	C:/xampp/htdocs/plantillas/second/gerenciales.com/eventos/ver/3386/gestion-estrategica-balanced-scorecard-venezuela.html	(from http://gerenciales.com/)
22:54:43	1204/1204	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Nov%202013%2021:39:52%20GMT	http://gerenciales.com/js/lib/jquery.alphanumeric.pack.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/lib/jquery.alphanumeric.pack.js	(from http://gerenciales.com/)
22:54:43	93868/93868	U-----	200	untouched ('')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/xampp/htdocs/plantillas/second/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from http://gerenciales.com/)
22:54:44	4037/4037	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Nov%202013%2021:40:00%20GMT	http://gerenciales.com/js/lib/waypoints.min.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/lib/waypoints.min.js	(from http://gerenciales.com/)
22:54:44	11812/11812	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Nov%202013%2021:39:56%20GMT	http://gerenciales.com/js/lib/jquery.form.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/lib/jquery.form.js	(from http://gerenciales.com/)
22:54:44	3064/3064	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Nov%202013%2021:39:56%20GMT	http://gerenciales.com/js/lib/jquery.lazyload.min.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/lib/jquery.lazyload.min.js	(from http://gerenciales.com/)
22:54:44	27832/27832	U-----	200	untouched ('')	application/javascript	date:Thu,%2021%20Nov%202013%2021:39:50%20GMT	http://gerenciales.com/js/lib/bootstrap.min.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/lib/bootstrap.min.js	(from http://gerenciales.com/)
22:54:45	714/714	U-----	200	untouched ('')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:30%20GMT	http://gerenciales.com/js/noty/layouts/bottomLeft.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/bottomLeft.js	(from http://gerenciales.com/)
22:54:45	720/720	U-----	200	untouched ('')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:32%20GMT	http://gerenciales.com/js/noty/layouts/bottomRight.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/bottomRight.js	(from http://gerenciales.com/)
22:54:45	1313/1313	U-----	200	untouched ('')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:32%20GMT	http://gerenciales.com/js/noty/layouts/center.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/center.js	(from http://gerenciales.com/)
22:54:45	1278/1278	U-----	200	untouched ('')	application/javascript	date:Thu,%2023%20Jan%202014%2014:41:32%20GMT	http://gerenciales.com/js/noty/layouts/centerLeft.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/noty/layouts/centerLeft.js	(from http://gerenciales.com/)
22:54:46	1176/1176	U-----	200	untouched ('')	application/javascript	date:Fri,%2031%20Oct%202014%2016:10:24%20GMT	http://gerenciales.com/js/validator/messages_es.js	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/validator/messages_es.js	(from http://gerenciales.com/)
22:54:46	14021/14021	U-----	200	untouched ('')	application/javascript	date:Thu,%2023%20Jun%202016%2014:43:14%20GMT	http://gerenciales.com/js/core.js?v=2016	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/core67ed.js	(from http://gerenciales.com/)
22:54:47	243/243	U-----	200	untouched ('')	application/javascript	date:Fri,%2026%20Feb%202016%2013:02:22%20GMT	http://gerenciales.com/js/config.js?v=2016	C:/xampp/htdocs/plantillas/second/gerenciales.com/js/config67ed.js	(from http://gerenciales.com/)
22:54:47	7718/7718	U-----	200	untouched ('')	image/png	date:Tue,%2021%20Jun%202016%2018:45:43%20GMT	http://gerenciales.com/img/icons/logo_sg.png	C:/xampp/htdocs/plantillas/second/gerenciales.com/img/icons/logo_sg.png	(from http://gerenciales.com/)
22:54:48	55297/55297	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2028%20Aug%202016%2002:54:37%20GMT	http://gerenciales.com/gold_membership	C:/xampp/htdocs/plantillas/second/gerenciales.com/gold_membership.html	(from http://gerenciales.com/)
